Porosity,Permeability,Depth,Temperature,Pressure,Injection Type,Injection Rate,Injection Pressure,Injection Duration,Oil Production Rate,Water Cut,Cumulative Oil Production,Sensor Temperature,Sensor Pressure,Flow Rate,Oil Recovery Factor,Location,Saturation_Oil,Saturation_Gas,date
0.447,0.583,0.015,0.85,0.847,-0.922406412180998,-1.201600856056142,0.1738113865639444,0.527829550087433,-1.3159154860686624,-0.3248465147780262,-1.3024945622000297,-1.547673994352212,-1.970986892416176,-1.4148676481223676,-1.9087440695069449,-0.6649579101036418,-0.5866079861500372,-0.6331443851334618,
0.447,0.911,0.799,1.69,1.699,1.7059064876081402,-2.733168914198208,-1.5340302336597396,-1.2716626583909272,0.0,0.5090456626880376,-2.0130346857817987,2.8693880662468945,2.021829351511794,-2.414730536268609,-1.0234469633879515,1.5038545820804476,1.4477418137076452,-1.42032671278836,
0.728,0.369,0.799,0.005,0.6,-0.922406412180998,1.5629178554381795,0.6272681901499917,-2.0026592485946546,2.1530713939245976,2.3131748596696244,2.685443188936249,0.4549231492840322,0.3955436633331576,1.987820924501652,-1.0307365675997062,-0.6649579101036418,0.8658824768831651,-0.6036624435686789,
0.447,0.466,1.539,1.057,1.116,-0.922406412180998,-0.6896068917802077,-0.6011532702972204,-0.9409056378410544,-0.8372969970744812,-1.5338605943951993,-0.7250791426645867,0.8561173830685201,0.8223545986499139,-0.8336031716936418,-0.1430128855992823,-0.6649579101036418,-1.1790749369207716,1.6018947171953664,
0.447,1.618,0.799,0.85,0.847,-0.922406412180998,3.212313133005506,0.1949851501072389,-0.6102874375030656,2.939506824463602,-0.3288379333312378,1.0684445766436572,-0.6350736459778752,-0.5103216643547618,2.9152245592529664,-0.9046828893445414,-0.6649579101036418,0.4575417632228117,1.039875087958721,
0.65,0.911,1.574,1.3,1.277,-0.922406412180998,-0.6856664804227717,0.0078916877575349,0.1047884441924415,-1.033363355657409,-0.5032175546133445,-1.510717475197025,1.3083452791319428,1.366349855154669,-1.1080220817050703,1.8223635931804485,-0.6649579101036418,0.8286142960548398,0.8172719832431479,
0.538,0.866,0.716,0.966,0.939,-0.922406412180998,0.4197425474288745,0.3960767078934639,-1.5972719023261333,0.1286799748520889,0.5928561690527242,0.3810230080452295,0.818912205090663,0.8968574015039715,0.2933123461968873,-1.3424652938723065,-0.6649579101036418,-1.6005323885287268,-0.41077090683868,
0.447,0.911,0.11,0.85,0.847,-0.922406412180998,0.7285717731152197,0.9208177082396964,1.5891408672631893,0.0132787525235455,-2.3039383857177125,0.1698241730918286,-0.3762879094416421,-0.3039985594794817,0.1227678183330217,-1.0206274727225335,-0.6649579101036418,1.7089351593340294,-0.3202943581035786,
0.447,1.064,0.794,0.85,0.847,0.3917500377135711,0.633150880015528,0.36556809393327,0.0,0.0164201471029002,1.1501761347416726,0.2010349553285861,-0.0637490472073309,-0.1774749099805656,0.2101386915174203,-0.2638933938887862,-0.6649579101036418,-1.0758293086409727,-1.9487552052794093,
0.447,0.821,0.799,0.85,0.847,-0.922406412180998,-0.4573293768374413,0.4506405321874967,0.6437980214868483,-0.2968931653252548,0.8329525238459173,-0.3107642922516941,-0.9815876319601452,-0.7654580987402413,-0.1109619339818402,-0.5727561682088715,-0.6649579101036418,0.0516811987393727,-0.8979705443551007,
